"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id"
"true","fullscreen","0","10389","0.0-0.0","","","",""
"","pavlovia","1","10394","0.0-1.0","","","",""
"","html-keyboard-response","2","33514","0.0-2.0","23118","<div class='center'><p>Welcome! This is the first day of the experiment which will last ~30 minutes. In this experiment, you are the head captain of a pirate ship traveling around the world to different places. You will complete several different tasks during this experiment. Here is an overview of these tasks:</p><br><p>Day 1</p><p>1. Tutorial and quiz</p><p>2. Pick a pirate game in 6 different places</p><br><p>Day 2</p><p>3. Pick a pirate game and memory game</p><p>4. Final questions and payment</p><br><p>If you complete the entire experiment, you will receive $15 and a possible bonus payment.</p><p><b>[Press the space bar to begin the tutorial]</b></p></div>","32","60ff05a47ab140b373c58f80"
"","html-keyboard-response","3","42832","0.0-3.0","9315.999999999993","<div class='center'><p>You’ll stop at these 6 islands on your journey. You'll be able to see them in the distance from your ship.</p><p><img src='run_exp/static/images/contexts/all_contexts.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32",""
"","html-keyboard-response","4","51389","0.0-4.0","8555","<div class='center'><p> The pirates on your ship will rob other ships as they leave island</p> These ships have just sold their things to the people living on the island, so they will have lots and lots of gold on them.</p><p><img src='run_exp/static/images/tutorial/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>","32",""
"","html-keyboard-response","5","63800","0.0-5.0","12409.000000000015","<div class='center'><p>As the head captain, you do not have to rob any ships yourself.</p><p>Another pirate will be doing the robbing for you. </p><p><img src='run_exp/static/images/tutorial/pirates_all_crop.png' height='200'></p><p>If they could rob the ship, then you will get a stack of gold coins like this:</p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they couldn't rob the ship, then you will get no gold coins and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p> How much bonus money you make is based on how many gold coins you collect.</p><p><b>[Press the space bar to continue]</b></p><div>","32",""
"","html-keyboard-response","6","75864","0.0-6.0","12063","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong defenses against pirate attacks.</p><p> For example, blue beard, here, is very, very good at robbing ships.</p><p> You can press the <b>‘1’</b> button on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he can rob a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","7","77367","0.0-7.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","8","78428","0.0-8.0","1059","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","9","79930","0.0-9.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","10","80321","0.0-10.0","390","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","11","81824","0.0-11.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","12","82181","0.0-12.0","355","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","13","83683","0.0-13.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","14","84256","0.0-14.0","570.9999999999854","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","15","85758","0.0-15.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","16","86133","0.0-16.0","373","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","17","87635","0.0-17.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","18","87988","0.0-18.0","350","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","19","89490","0.0-19.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","20","89964","0.0-20.0","472","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","21","91465","0.0-21.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","22","92459","0.0-22.0","992","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","23","93961","0.0-23.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","24","94418","0.0-24.0","454","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49",""
"","html-keyboard-response","25","95920","0.0-25.0","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null",""
"","html-keyboard-response","26","99070","0.0-26.0","3146.9999999999854","<div class='center'><p> See, he could rob the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32",""
