"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","context_id"
"true","fullscreen","0","35442","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","35447","0.0-1.0","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","41254","0.0-2.0","5805.679999990389","<div class='center'><p>Welcome! This is the second day of the experiment. This part will last ~30 minutes. </p><br><p>Just as a reminder, you are the head captain of a pirate ship traveling around the world to different places. </p><p>Today,you’ve arrived at the final destination of your journey!</p><p> Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the places you visited yesterday.</p><p>You’ll still be deciding which pirates you want to rob ships. Because of the fog, however, you won't be able to see which ship your chosen pirate is robbing. </p><p><b>[Press the space bar to go over the instructions]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","45830","0.0-3.0","4574.514999985695","<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","51294","0.0-4.0","5462.474999949336","<div class='center'><p>Unlike yesterday, sometimes you’ll be asked if you’ve seen a ship before (see the example below). You will use the 5, 6, 7, 8 buttons on your keyboard to respond. </p><p> If you definitely did not see the ship, pick the the big red thumbs down by pressing <b>5</b>.</p><p> If you don’t think you saw it but aren’t sure, then pick the small red thumbs down by pressing <b>6</b>.</p><p> If you think you might have seen it, then pick the small green thumbs up by pressing <b>7</b>.</p><p> If you definitely did see this ship before, then pick the big thumb green thumbs up by pressing <b>8</b>.</p><p> If you recall it correctly, then you’ll get a gold coin!</p><p><b>[Press the space bar to the experiment]</b></p><p><img src='run_exp/static/images/example_recog_trial.png' height='500'></p></div>","32","","","","","","","","","","","","","","","",""
"","do_welcome","5","52807","0.0-5.0-0.0","null","","","null","","","","","","","","","","","","","","",""
"","do_trial","6","57741","0.0-6.0-0.0","2383.3250000607222","","","49","1,1,0","6","blank","240","null","1","0.10556616085429638","0.5671609648437086","1","","","","","",""
"","do_trial","7","63277","0.0-7.0-0.0","2980.1250000018626","","","50","0,1,1","6","blank","241","null","0.8529982323236371","0.11480692448534197","0.5705099994072371","1","","","","","",""
"","do_trial","8","68731","0.0-8.0-0.0","2901.5499998349696","","","51","1,0,1","6","blank","242","null","0.8817250737856401","0.05687220370207308","0.45625461520510757","1","","","","","",""
"","do_recog","9","74740","0.0-9.0-0.0","null","","","null","","","","243","probe-107","","","","","1","[object Object]","123","3","0",""
"","do_trial","10","78385","0.0-10.0-0.0","1093.9899999648333","","","51","1,0,1","6","blank","244","null","0.9229126600926165","0.119058876214366","0.42890947792784095","1","","","","","",""
"","do_recog","11","83011","0.0-11.0-0.0","3116.2249997723848","","","54","","","","245","probe-99","","","","","1","[object Object]","87","2","0",""
"","do_trial","12","87311","0.0-12.0-0.0","1753.8600000552833","","","49","1,0,0","6","blank","246","null","0.8041074416005478","0.20049676569075062","0.3607841623052562","1","","","","","",""
"","do_recog","13","91716","0.0-13.0-0.0","2892.06500002183","","","54","","","","247","probe-27","","","","","1","[object Object]","41","1","0",""
