"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","context_id"
"true","fullscreen","0","2654","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","2659","0.0-1.0","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","22152","0.0-2.0","19491.30000001192","<div class='center'><p>Welcome! This is the second day of the experiment. This part will last ~30 minutes. </p><br><p>Just as a reminder, you are the head captain of a pirate ship traveling around the world to different places. </p><p>Today,you’ve arrived at the final destination of your journey!</p><p> Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the places you visited yesterday.</p><p>You’ll still be deciding which pirates you want to rob ships. Because of the fog, however, you won't be able to see which ship your chosen pirate is robbing. </p><p><b>[Press the space bar to go over the instructions]</b></p></div>","32","6149255c91a3107294681f07","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","32491","0.0-3.0","10337.10000000894","<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","65311","0.0-4.0","32815.79999999702","<div class='center'><p>Unlike yesterday, sometimes you’ll be asked if you’ve seen a ship before (see the example below). You will use the 5, 6, 7, 8 buttons on your keyboard to respond. </p><p> If you definitely did not see the ship, pick the the big red thumbs down by pressing <b>5</b>.</p><p> If you don’t think you saw it but aren’t sure, then pick the small red thumbs down by pressing <b>6</b>.</p><p> If you think you might have seen it, then pick the small green thumbs up by pressing <b>7</b>.</p><p> If you definitely did see this ship before, then pick the big thumb green thumbs up by pressing <b>8</b>.</p><p> If you recall it correctly, then you’ll get a gold coin!</p><p><b>[Press the space bar to the experiment]</b></p><p><img src='run_exp/static/images/example_recog_trial.png' height='500'></p></div>","32","","","","","","","","","","","","","","","","",""
"","do_welcome","5","66833","0.0-5.0-0.0","null","","","","null","","","","","","","","","","","","","","",""
"","do_trial","6","72913","0.0-6.0-0.0","null","","","","null","1,1,0","6","blank","240","null","1","0.6382949878093062","0.329906696546751","","","","","","",""
"","do_trial","7","75927","0.0-7.0-0.0","455.40000000596046","","","","49","1,1,1","6","blank","241","null","0.8935153181219241","0.6648771849678816","0.3277586173213913","1","","","","","",""
"","do_recog","8","81713","0.0-8.0-0.0","4274.70000000298","","","","54","","","","242","probe-243","","","","","0","[object Object]","null","null","1",""
"","do_trial","9","85828","0.0-9.0-0.0","1578.7000000029802","","","","51","1,0,0","6","blank","243","null","0.811534377847713","0.6290533881932645","0.1975863026880068","0","","","","","",""
"","do_recog","10","90539","0.0-10.0-0.0","3193","","","","56","","","","244","probe-244","","","","","0","[object Object]","null","null","0",""
"","do_trial","11","93966","0.0-11.0-0.0","866.2000000029802","","","","49","1,0,0","6","blank","245","null","0.7937113785720382","0.6795550387344756","0.4025162850491185","1","","","","","",""
"","do_recog","12","98451","0.0-12.0-0.0","2971.199999988079","","","","54","","","","246","probe-80","","","","","1","[object Object]","164","4","0",""
"","do_trial","13","102108","0.0-13.0-0.0","1094.9000000059605","","","","51","1,1,0","6","blank","247","null","0.8517177037218656","0.6749580407441994","0.2067775128015686","0","","","","","",""
"","do_trial","14","106340","0.0-14.0-0.0","1688.5","","","","49","1,1,0","6","blank","248","null","0.8813571437942009","0.5188522476151529","0.09534738256682342","1","","","","","",""
"","do_trial","15","109907","0.0-15.0-0.0","1018.7000000029802","","","","49","0,1,0","6","blank","249","null","0.7145578531301565","0.5757521436052332","0.09503147366839183","0","","","","","",""
"","do_trial","16","113021","0.0-16.0-0.0","562.5","","","","50","1,0,0","6","blank","250","null","0.9320351732042894","0.45982647788180714","0.11280535167580315","0","","","","","",""
"","do_trial","17","116479","0.0-17.0-0.0","913.8999999910593","","","","49","1,0,0","6","blank","251","null","0.9339112090013693","0.31241740186835737","0.07207813488107083","1","","","","","",""
"","do_recog","18","120274","0.0-18.0-0.0","2275.5","","","","56","","","","252","probe-113","","","","","1","[object Object]","203","5","1",""
"","do_trial","19","123287","0.0-19.0-0.0","436.79999999701977","","","","49","0,0,0","6","blank","253","null","0.8085084285695061","0.3246680076892079","0.07659519445879287","0","","","","","",""
"","do_recog","20","127394","0.0-20.0-0.0","2597.9000000059605","","","","53","","","","254","probe-09","","","","","1","[object Object]","44","1","0",""
"","do_trial","21","130470","0.0-21.0-0.0","523.2000000029802","","","","49","1,0,0","6","blank","255","null","0.685985856967312","0.3114458513143041","0.3342438080709199","1","","","","","",""
"","do_recog","22","134361","0.0-22.0-0.0","2382.2000000029802","","","","53","","","","256","probe-130","","","","","1","[object Object]","43","1","0",""
"","do_trial","23","137501","0.0-23.0-0.0","602.5","","","","49","1,0,1","6","blank","257","null","0.5763752394247998","0.17853404946678836","0.5732723178661792","1","","","","","",""
"","do_trial","24","140579","0.0-24.0-0.0","503.5","","","","49","0,0,1","6","blank","258","null","0.5756788121148962","0.18586273374699186","0.5883517712714393","0","","","","","",""
"","do_trial","25","143452","0.0-25.0-0.0","329.40000000596046","","","","49","0,0,1","6","blank","259","null","0.5157926499517452","0.1049614254319194","0.7886986969831586","0","","","","","",""
"","do_trial","26","146016","0.0-26.0-0.0","0.20000000298023224","","","","49","1,0,0","6","blank","260","null","0.41070833424593445","0.10471162306013768","0.7538732762055212","1","","","","","",""
"","do_trial","27","149307","0.0-27.0-0.0","750.8999999910593","","","","50","1,0,0","6","blank","261","null","0.2797542246045918","0.1584765289263909","0.6866303759352801","0","","","","","",""
"","do_recog","28","153318","0.0-28.0-0.0","2501.4000000059605","","","","56","","","","262","probe-56","","","","","1","[object Object]","85","2","1",""
"","do_trial","29","156873","0.0-29.0-0.0","1002.2000000029802","","","","51","1,0,0","6","blank","263","null","0.32094343641903317","0.2455288102573519","0.5972434863270714","0","","","","","",""
"","do_trial","30","159854","0.0-30.0-0.0","423.70000000298023","","","","50","0,0,0","6","blank","264","null","0.2582252854353028","0.22983841423640974","0.8853908620926947","0","","","","","",""
"","do_trial","31","162699","0.0-31.0-0.0","286.79999999701977","","","","49","1,0,1","6","blank","265","null","0.3631083791178456","0.35516394699342196","0.7848548931091781","1","","","","","",""
"","do_recog","32","166384","0.0-32.0-0.0","2163.5","","","","56","","","","266","probe-187","","","","","1","[object Object]","126","3","1",""
"","do_trial","33","169429","0.0-33.0-0.0","455.3999999910593","","","","49","1,0,1","6","blank","267","null","0.4226475191336375","0.29085511538531","0.597212095876381","1","","","","","",""
"","do_recog","34","172939","0.0-34.0-0.0","1994.6000000089407","","","","53","","","","268","probe-241","","","","","0","[object Object]","null","null","1",""
"","do_trial","35","176499","0.0-35.0-0.0","1011.8999999910593","","","","49","1,0,0","6","blank","269","null","0.4790388095727065","0.14167309371842485","0.6819838607808275","1","","","","","",""
"","do_trial","36","179612","0.0-36.0-0.0","547.5999999940395","","","","49","1,0,1","6","blank","270","null","0.3698473593851337","0.13459785158620668","0.6026302634438921","1","","","","","",""
"","do_recog","37","183611","0.0-37.0-0.0","2490.7999999970198","","","","55","","","","271","probe-119","","","","","1","[object Object]","47","1","1",""
"","do_trial","38","186755","0.0-38.0-0.0","555.5","","","","49","0,0,1","6","blank","272","null","0.34314708802981597","0.13218449526044104","0.6514504646240475","0","","","","","",""
"","do_trial","39","189629","0.0-39.0-0.0","303.79999999701977","","","","50","1,0,1","6","blank","273","null","0.4176322169596932","0.12490069974846252","0.7650602821287181","0","","","","","",""
"","do_trial","40","192461","0.0-40.0-0.0","293","","","","51","1,0,1","6","blank","274","null","0.3146753728679859","0.07251595276933219","0.7702603196012675","1","","","","","",""
"","do_trial","41","195388","0.0-41.0-0.0","388.29999999701977","","","","51","1,0,1","6","blank","275","null","0.30095799358749475","0.14212285605978298","0.944597277785695","1","","","","","",""
"","do_trial","42","198345","0.0-42.0-0.0","390.79999999701977","","","","51","1,0,1","6","blank","276","null","0.3037265073689309","0.29150135850588194","0.8510407838670949","1","","","","","",""
"","do_recog","43","202708","0.0-43.0-0.0","2853.8999999910593","","","","55","","","","277","probe-37","","","","","1","[object Object]","204","5","1",""
"","do_trial","44","205873","0.0-44.0-0.0","624.0999999940395","","","","49","0,0,1","6","blank","278","null","0.40189174287648477","0.3804730174427112","0.9414319978719032","0","","","","","",""
"","do_recog","45","210669","0.0-45.0-0.0","3280.699999988079","","","","54","","","","279","probe-85","","","","","1","[object Object]","201","5","0",""
"","do_trial","46","213786","0.0-46.0-0.0","566.6000000089407","","","","49","0,0,0","6","blank","280","null","0.4848880037444321","0.2269670580803087","0.8134074408908053","0","","","","","",""
"","do_recog","47","217311","0.0-47.0-0.0","2010","","","","55","","","","281","probe-137","","","","","1","[object Object]","122","3","1",""
"","do_trial","48","220332","0.0-48.0-0.0","470","","","","49","1,0,1","6","blank","282","null","0.5202888957959274","0.0506526707654972","0.8857539937823738","1","","","","","",""
"","do_recog","49","223572","0.0-49.0-0.0","1730.2999999970198","","","","55","","","","283","probe-61","","","","","1","[object Object]","167","4","1",""
"","do_trial","50","226538","0.0-50.0-0.0","426.6000000089407","","","","49","0,1,1","6","blank","284","null","0.5849566794759054","0.13954951647863412","1","0","","","","","",""
"","do_recog","51","230219","0.0-51.0-0.0","2165.7999999970198","","","","53","","","","285","probe-250","","","","","0","[object Object]","null","null","1",""
"","do_trial","52","233155","0.0-52.0-0.0","363.79999999701977","","","","49","0,0,1","6","blank","286","null","0.3479455396047858","0.09258997636854895","0.873411835616553","0","","","","","",""
"","do_recog","53","236854","0.0-53.0-0.0","2183.5999999940395","","","","54","","","","287","probe-35","","","","","1","[object Object]","163","4","0",""
"","do_trial","54","239934","0.0-54.0-0.0","502.09999999403954","","","","49","0,0,1","6","blank","288","null","0.28955309677086827","0.11026079518870618","0.7569812639103856","0","","","","","",""
"","do_trial","55","242872","0.0-55.0-0.0","387","","","","50","1,0,1","6","blank","289","null","0.4940481173539169","0.06546154561126415","0.7291712230581594","0","","","","","",""
"","do_trial","56","245783","0.0-56.0-0.0","329.8999999910593","","","","50","1,0,1","6","blank","290","null","0.45738980928876255","0.15177461821675584","0.7780535058466981","0","","","","","",""
"","do_recog","57","249334","0.0-57.0-0.0","2032","","","","54","","","","291","probe-70","","","","","1","[object Object]","160","4","0",""
"","do_trial","58","252537","0.0-58.0-0.0","640","","","","51","1,0,1","6","blank","292","null","0.5903566512192148","0.11642085608891325","0.7874552971132771","1","","","","","",""
"","do_recog","59","256064","0.0-59.0-0.0","2017.6000000089407","","","","54","","","","293","probe-46","","","","","1","[object Object]","84","2","0",""
"","do_trial","60","259049","0.0-60.0-0.0","439.70000000298023","","","","51","0,0,0","6","blank","294","null","0.4361417723610904","0.2059743800939278","0.7958682950702999","0","","","","","",""
"","do_recog","61","263164","0.0-61.0-0.0","2608","","","","56","","","","295","probe-167","","","","","1","[object Object]","169","4","1",""
