success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,subject_id,key_press,response,choice_outcomes,context_n,context_img_id,trial_n,probe_img_id,pR_red,pR_white,pR_black,outcome,is_valid,image_to_show,probed_trial,probed_context,correct,context_id
TRUE,fullscreen,0,24483,0.0-0.0,,,,,,,,,,,,,,,,,,,,
,pavlovia,1,24485,0.0-1.0,,,,,,,,,,,,,,,,,,,,
,html-keyboard-response,2,27466,0.0-2.0,2980.3,"<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>",59306fc35f170a00014358da,32,,,,,,,,,,,,,,,,
,html-keyboard-response,3,45742,0.0-3.0,18275.3,"<div class='center'><p>You’ve arrived at the final island of your journey! Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the previous islands you've visited.</p><p>You’ll still be deciding which pirate you want to rob a ship like before. However, because of the fog, you also won’t be able to see the ship.</p><p>This means you do not have to remember the ships you rob on this island.</p><p><b>[Press the space bar to continue]</b></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,4,45984,0.0-4.0,241.4,"<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><b>[Press the space bar to continue]</b></p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,5,46892,0.0-5.0,907.3,"<div class='center'><p> You will press the 5, 6, 7, 8 buttons on your keyboard to respond.</p><p>If you are very sure saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you  saw it before but are not sure, then press <b>6</b>.</p><p> If you think you have not seen it before but are not sure, then press <b>7</b>.</p><p> If you are sure you did not see the ship before, then press <b>8</b>.</p><p><b>[Press the space bar to continue]</b></p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,6,51961,0.0-6.0,5067.4,"<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p><p><b>[Press the space bar to continue]</b></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,7,60205,0.0-7.0,8243.9,"<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw the ship. </p><p><b>[Press the space bar to begin the next part of the study]</b></p></div>",,32,,,,,,,,,,,,,,,,
,do_welcome,8,61712,0.0-8.0,null,,,,null,,,,,,,,,,,,,,,
,do_trial,9,67749,0.0-9.0-0.0,null,,,,null,"0,0,0",6,blank,230,null,0.494192442,0.201906835,0.071167517,,,,,,,
,html-keyboard-response,10,68751,0.0-9.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,11,71735,0.0-10.0-0.0,461,,,,49,"1,0,0",6,blank,231,null,0.552168083,0.196922078,0.072501289,1,,,,,,
,html-keyboard-response,12,72737,0.0-10.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,13,75365,0.0-11.0-0.0,106.4,,,,49,"1,0,0",6,blank,232,null,0.477650895,0.141424316,0.214965471,1,,,,,,
,html-keyboard-response,14,76367,0.0-11.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,15,79092,0.0-12.0-0.0,200,,,,49,"1,0,0",6,blank,233,null,0.403275553,0.15738704,0.204379193,1,,,,,,
,html-keyboard-response,16,80093,0.0-12.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,17,82770,0.0-13.0-0.0,154.7,,,,49,"1,0,0",6,blank,234,null,0.597449683,0.163518208,0.228469061,1,,,,,,
,html-keyboard-response,18,83772,0.0-13.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,19,86483,0.0-14.0-0.0,189.7,,,,49,"1,0,0",6,blank,235,null,0.559091828,0.274994816,0.354196771,1,,,,,,
,html-keyboard-response,20,87485,0.0-14.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,21,90214,0.0-15.0-0.0,206.1,,,,49,"0,0,0",6,blank,236,null,0.545295996,0.307572545,0.396202887,0,,,,,,
,html-keyboard-response,22,91216,0.0-15.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,23,93902,0.0-16.0-0.0,164.4,,,,49,"1,0,0",6,blank,237,null,0.615475128,0.195410651,0.386703281,1,,,,,,
,html-keyboard-response,24,94904,0.0-16.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,25,97741,0.0-17.0-0.0,313.5,,,,49,"0,0,0",6,blank,238,null,0.761710174,0.122843903,0.399159368,0,,,,,,
,html-keyboard-response,26,98743,0.0-17.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,27,101723,0.0-18.0-0.0,458.7,,,,49,"1,0,0",6,blank,239,null,0.810100398,0.101762101,0.204775594,1,,,,,,
,html-keyboard-response,28,102726,0.0-18.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,29,105584,0.0-19.0-0.0,335.5,,,,49,"0,0,1",6,blank,240,null,0.754474885,0.124244423,0.210603752,0,,,,,,
,html-keyboard-response,30,106586,0.0-19.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_recog,31,112600,0.0-20.0-0.0,null,,,,null,,,,241,probe-202,,,,,1,[object Object],81,2,0,
,html-keyboard-response,32,113602,0.0-20.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,33,116889,0.0-21.0-0.0,765.3,,,,49,"1,0,0",6,blank,242,null,0.703925236,0.066766729,0.24687171,1,,,,,,
,html-keyboard-response,34,117891,0.0-21.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_recog,35,120163,0.0-22.0-0.0,769.4,,,,53,,,,243,probe-133,,,,,1,[object Object],163,4,1,
,html-keyboard-response,36,121164,0.0-22.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
