participant_id,Age,Gender,Race,Hispanic
5,8.91,Male,Mixed Race,N
46,8.84,Male,Caucasian/White,N
18,8.35,Female,Caucasian/White,N
223,9.36,Male,Mixed Race,N
65,9.73,Female,Mixed Race,N
231,10.41,Female,Caucasian/White,N
73,11.32,Female,Caucasian/White,N
520,12.2,Male,Caucasian/White,N
3,12.84,Female,Caucasian/White,N
64,11.81,Female,Mixed Race,N
230,11.47,Female,Caucasian/White,N
521,10.1,Male,Caucasian/White,N
163,8.45,Female,Mixed Race,N
8,16.05,Female,Mixed Race,N
385,8.09,Male,Caucasian/White,N
498,8.96,Male,Mixed Race,N
148,9.87,Male,Caucasian/White,N
601,9.86,Female,Asian,N
147,9.88,Female,Caucasian/White,N
384,10.64,Female,Caucasian/White,N
69,10.04,Female,Black/African American,N
704,11.72,Male,Caucasian/White,N
227,12.36,Male,Caucasian/White,N
190,12.31,Male,Caucasian/White,N
749,12.19,Female,Black/African American,N
497,12.26,Female,Mixed Race,N
191,9.86,Male,Caucasian/White,N
251,8.99,Male,Asian,N
208,8.55,Male,Mixed Race,N
171,8.04,Male,Caucasian/White,N
518,8.99,Male,Caucasian/White,N
816,8.6,Female,Mixed Race,Y
22,9.06,Male,Asian,N
332,9.29,Male,Asian,N
702,9.75,Male,Caucasian/White,N
717,9.26,Female,Caucasian/White,N
401,9.86,Female,Mixed Race,Y
626,10.89,Male,Asian,N
625,10.89,Male,Asian,N
615,10.56,Male,Asian,N
900,10.47,Female,Caucasian/White,N
759,10.5,Female,Caucasian/White,N
661,11.02,Female,Asian,N
234,10.91,Female,Asian,N
229,10.42,Female,Mixed Race,N
547,10.16,Female,Caucasian/White,N
737,11.45,Male,Mixed Race,N
738,11.45,Male,Mixed Race,N
29,11.03,Male,Caucasian/White,N
335,11.66,Female,Asian,N
104,11.43,Female,Caucasian/White,N
936,11.51,Female,Mixed Race,Y
727,11.99,Female,Caucasian/White,N
844,12.08,Male,Black/African American,Y
259,12.93,Male,Mixed Race,Y
124,12.45,Male,Caucasian/White,N
72,12.19,Female,Caucasian/White,N
774,12.01,Female,Caucasian/White,N
716,12.05,Female,Caucasian/White,N
923,13.02,Male,Black/African American,Y
758,13.74,Male,Caucasian/White,N
659,13.18,Male,Asian,N
887,13.13,Female,Caucasian/White,N
710,13.5,Female,Mixed Race,N
672,13.09,Female,Black/African American,N
2,14.94,Male,Caucasian/White,N
136,14.42,Male,Caucasian/White,N
804,14.12,Male,Caucasian/White,N
