participant_id,missing_response,insufficient_exploration,too_fast,distracted,late
900,False,True,False,False,False
611,True,False,False,True,False
286,False,True,False,True,False
37,False,False,False,True,False
233,True,False,False,True,False
358,False,False,False,True,False
626,False,False,False,True,False
759,False,True,False,False,False
189,True,True,False,False,False
150,False,False,False,True,False
843,False,True,False,False,False
560,False,True,False,False,False
859,False,False,False,False,True
1182,False,False,False,True,False
1063,True,True,False,True,False
1148,False,True,False,False,False
202,False,False,False,True,False
1811,False,False,True,False,False
