participant_id,mb_effect,age,gender,ldi
22,-0.073396313,9.106849315,Male,0.466733871
29,0.384848104,11.08493151,Male,0.46875
37,0.521880596,16.0739726,Male,0.375
42,0.13623348,20.82739726,Female,0.15625
70,0.502417239,22.25753425,Female,0.53125
71,0.196227515,17.12054795,Female,0.28125
72,0.098820673,12.24383562,Female,0.195564516
124,0.388322065,12.49863014,Male,0.379166667
132,0.157979704,14.88767123,Female,0.125
136,0.352109056,14.47945205,Male,0.5625
139,0.378000551,12.42191781,Female,0.5625
171,0.063005169,8.090410959,Male,0.168817204
179,0.713813831,20.98082192,Female,0.625
189,0.097535424,14.24931507,Male,0.34375
190,0.399178722,12.3890411,Male,0.3125
220,0.197132133,19.27945205,Female,0.84375
229,0.663113641,10.4739726,Female,0.34375
233,-0.084416253,18.00273973,Female,0.185483871
234,-0.007571564,10.95890411,Female,0.304761905
247,0.661078336,17.45205479,Male,0.21875
259,-0.068418647,12.98082192,Male,0.371975806
286,0.494817434,19,Male,0.53125
293,-0.152416616,19.79178082,Female,0.15625
337,0.042875815,25.37808219,Male,0.061491935
386,0.501680747,25.33424658,Female,0.1875
392,0.587756148,18.89589041,Female,0.3125
395,0.78731518,22.67945205,Female,0.875
401,-0.170008129,9.909589041,Female,0.166330645
421,0.459587909,19.52054795,Female,0.34375
423,-0.062564786,20.10410959,Female,0.216733871
463,0.483478941,19.34246575,Female,0.8125
472,0.671731837,24.25479452,Female,0.3125
478,0.632795965,21.39452055,Female,0.59375
534,0.337715987,23.54246575,Female,0.65625
547,0.596450819,10.22739726,Female,0.28125
592,0.17119975,23.05479452,Male,-0.28125
601,-0.094882263,9.956164384,Female,0.646169355
603,0.547135732,16.75616438,Male,0.53125
611,0.314956305,15.74246575,Male,0.09375
618,0.624942896,25.9890411,Female,0.625
626,0.177086515,10.95068493,Male,0
658,0.586209565,16.61643836,Male,0.625
659,0.635872278,13.23561644,Male,0.34375
661,-0.005340246,11.07945205,Female,0.177083333
672,0.319927568,13.18356164,Female,0.25
702,-0.082078351,9.810958904,Male,0.3125
709,0.206167715,16.73424658,Male,0.53125
710,0.714037821,13.54520548,Female,0.03125
716,0.145229563,12.10958904,Female,0.65625
717,0.166943361,9.309589041,Female,0.05141129
737,0.235577223,11.5369863,Male,-0.34375
738,0.107929779,11.51232877,Male,-0.21875
741,0.698715936,23.35890411,Female,0.46875
754,0.800925465,20.06849315,Male,0.59375
758,0.8233824,13.8,Male,0.25
759,0.156686594,10.55616438,Female,0.362903226
774,0.01650131,12.05205479,Female,0.03125
784,0.049376815,21.06575342,Female,0.245967742
787,0.702568804,22.85753425,Female,0.6875
804,0.543507527,14.27671233,Male,0.388104839
843,-0.13874622,15.83013699,Female,0.086693548
844,0.032217762,12.14520548,Male,0.295362903
859,0.477537307,10.3260274,Female,0.5
875,0.804144804,26.04109589,Male,0.71875
877,0.277128321,25.10958904,Male,0.21875
891,-0.3457736,23.50684932,Female,0.40625
894,0.065752415,#NUM!,Female,0.46875
900,0.367849229,10.53972603,Female,0.375
918,0.238665446,22.49041096,Male,0.375
923,-0.048352328,13.0739726,Male,0.5625
928,0.064983656,15.09589041,Male,-0.15625
936,0.770353167,11.56438356,Female,0.3125
946,-0.220575757,14.83287671,Female,0.276209677
957,0.046974896,14.58356164,Male,0.4375
958,0.180651168,8.106849315,Female,0.202620968
959,0.033171327,17.07945205,Female,0.28125
965,0.139793132,16.38356164,Female,0.577083333
1059,0.190683245,22.52876712,Male,0.21875
1182,0.295089672,17.92054795,Female,0.40625
1183,-0.043632128,15.10958904,Female,0.3125
1184,0.066471248,12.19178082,Male,0.110416667
1225,-0.223319531,19.24657534,Female,0.53125
1245,0.139824583,25.62191781,Male,-0.125
1249,0.398223259,16.15342466,Female,0.087701613
1250,-0.034508804,18.12876712,Female,0.5
1302,0.787568483,15.54794521,Male,0.625
