success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
TRUE,fullscreen,0,2768,0.0-0.0,,,,,,,,,,,
,pavlovia,1,2772,0.0-1.0,,,,,,,,,,,
,welcome,2,38496,0.0-2.0,null,run_exp/static/audio/clip_1_welcome.m4a,null,63,520,12,male,"<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>",,,
,html-keyboard-response,3,43684,0.0-3.0,5186.099999,"<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>",32,,,,,,,,
,image,4,45690,0.0-4.0,null,run_exp/static/images/Set 6_rs/016a.jpg,null,,,,,,learn,SL,
,show_choice,5,47697,0.0-5.0,null,run_exp/static/images/blank.png,null,,,,,,learn,SL,
,html-keyboard-response,6,48200,0.0-6.0,null,<p></p>,null,,,,,,,,
,image,7,49614,0.0-7.0,1412.4,run_exp/static/images/Set 6_rs/111a.jpg,86,,,,,,learn,SL,
,show_choice,8,50207,0.0-8.0,null,run_exp/static/images/Set 6_rs/111a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,9,50713,0.0-9.0,null,<p></p>,null,,,,,,,,
,image,10,51806,0.0-10.0,1091.900001,run_exp/static/images/Set 6_rs/167a.jpg,78,,,,,,learn,SL,
,show_choice,11,52716,0.0-11.0,null,run_exp/static/images/Set 6_rs/167a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,12,53221,0.0-12.0,null,<p></p>,null,,,,,,,,
,image,13,53935,0.0-13.0,712,run_exp/static/images/Set 6_rs/089a.jpg,86,,,,,,learn,SL,
,show_choice,14,55228,0.0-14.0,null,run_exp/static/images/Set 6_rs/089a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,15,55728,0.0-15.0,null,<p></p>,null,,,,,,,,
,image,16,56390,0.0-16.0,660.6000004,run_exp/static/images/Set 6_rs/079a.jpg,86,,,,,,learn,SL,
,show_choice,17,57735,0.0-17.0,null,run_exp/static/images/Set 6_rs/079a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,18,58239,0.0-18.0,null,<p></p>,null,,,,,,,,
,image,19,59062,0.0-19.0,822.3000002,run_exp/static/images/Set 6_rs/121a.jpg,86,,,,,,learn,SR,
,show_choice,20,60245,0.0-20.0,null,run_exp/static/images/Set 6_rs/121a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,21,60751,0.0-21.0,null,<p></p>,null,,,,,,,,
,image,22,61318,0.0-22.0,566,run_exp/static/images/Set 6_rs/045a.jpg,86,,,,,,learn,SR,
,show_choice,23,62753,0.0-23.0,null,run_exp/static/images/Set 6_rs/045a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,24,63256,0.0-24.0,null,<p></p>,null,,,,,,,,
,image,25,64191,0.0-25.0,933.5,run_exp/static/images/Set 6_rs/007a.jpg,86,,,,,,learn,SR,
,show_choice,26,65261,0.0-26.0,null,run_exp/static/images/Set 6_rs/007a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,27,65762,0.0-27.0,null,<p></p>,null,,,,,,,,
,image,28,66518,0.0-28.0,754.7999992,run_exp/static/images/Set 6_rs/178a.jpg,78,,,,,,learn,SR,
,show_choice,29,67769,0.0-29.0,null,run_exp/static/images/Set 6_rs/178a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,30,68273,0.0-30.0,null,<p></p>,null,,,,,,,,
,image,31,69398,0.0-31.0,1124,run_exp/static/images/Set 6_rs/074a.jpg,78,,,,,,learn,SL,
,show_choice,32,70280,0.0-32.0,null,run_exp/static/images/Set 6_rs/074a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,33,70784,0.0-33.0,null,<p></p>,null,,,,,,,,
