"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","3681","0.0-0.0","","","","","","","","","","",""
"","pavlovia","1","3689","0.0-1.0","","","","","","","","","","",""
"","welcome","2","39401","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","128","148","9","Male","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","39738","0.0-3.0","330.20000000298023","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","41056","0.0-4.0","1315.5","run_exp/static/images/Set 6_rs/122a.jpg","86","","","","","","learn","SR",""
"","show_choice","5","41743","0.0-5.0","null","run_exp/static/images/Set 6_rs/122a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","6","42250","0.0-6.0","null","<p></p>","null","","","","","","","",""
"","image","7","42965","0.0-7.0","714.2000000029802","run_exp/static/images/Set 6_rs/010a.jpg","86","","","","","","learn","SR",""
"","show_choice","8","44253","0.0-8.0","null","run_exp/static/images/Set 6_rs/010a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","9","44755","0.0-9.0","null","<p></p>","null","","","","","","","",""
"","image","10","45380","0.0-10.0","623.5999999940395","run_exp/static/images/Set 6_rs/111a.jpg","78","","","","","","learn","SL",""
"","show_choice","11","46762","0.0-11.0","null","run_exp/static/images/Set 6_rs/111a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","12","47268","0.0-12.0","null","<p></p>","null","","","","","","","",""
"","image","13","47778","0.0-13.0","507","run_exp/static/images/Set 6_rs/023a.jpg","86","","","","","","learn","SR",""
"","show_choice","14","49273","0.0-14.0","null","run_exp/static/images/Set 6_rs/023a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","15","49774","0.0-15.0","null","<p></p>","null","","","","","","","",""
"","image","16","50845","0.0-16.0","1070.1000000089407","run_exp/static/images/Set 6_rs/116a.jpg","86","","","","","","learn","SL",""
"","show_choice","17","51780","0.0-17.0","null","run_exp/static/images/Set 6_rs/116a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","52284","0.0-18.0","null","<p></p>","null","","","","","","","",""
"","image","19","53292","0.0-19.0","1006.9000000059605","run_exp/static/images/Set 6_rs/064a.jpg","78","","","","","","learn","SR",""
"","show_choice","20","54286","0.0-20.0","null","run_exp/static/images/Set 6_rs/064a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","54789","0.0-21.0","null","<p></p>","null","","","","","","","",""
"","image","22","55993","0.0-22.0","1202.8999999910593","run_exp/static/images/Set 6_rs/148a.jpg","86","","","","","","learn","SR",""
"","show_choice","23","56793","0.0-23.0","null","run_exp/static/images/Set 6_rs/148a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","24","57297","0.0-24.0","null","<p></p>","null","","","","","","","",""
"","image","25","58385","0.0-25.0","1087.300000011921","run_exp/static/images/Set 6_rs/036a.jpg","78","","","","","","learn","SL",""
"","show_choice","26","59303","0.0-26.0","null","run_exp/static/images/Set 6_rs/036a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","27","59805","0.0-27.0","null","<p></p>","null","","","","","","","",""
"","image","28","60921","0.0-28.0","1114.2000000029802","run_exp/static/images/Set 6_rs/177a.jpg","78","","","","","","learn","SR",""
"","show_choice","29","61812","0.0-29.0","null","run_exp/static/images/Set 6_rs/177a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","30","62318","0.0-30.0","null","<p></p>","null","","","","","","","",""
"","image","31","63367","0.0-31.0","1047","run_exp/static/images/Set 6_rs/057a.jpg","86","","","","","","learn","SL",""
"","show_choice","32","64325","0.0-32.0","null","run_exp/static/images/Set 6_rs/057a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","33","64826","0.0-33.0","null","<p></p>","null","","","","","","","",""
"","image","34","65949","0.0-34.0","1121.7999999970198","run_exp/static/images/Set 6_rs/075a.jpg","86","","","","","","learn","SR",""
"","show_choice","35","66829","0.0-35.0","null","run_exp/static/images/Set 6_rs/075a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","36","67333","0.0-36.0","null","<p></p>","null","","","","","","","",""
"","image","37","68625","0.0-37.0","1290.5","run_exp/static/images/Set 6_rs/150a.jpg","86","","","","","","learn","SR",""
"","show_choice","38","69336","0.0-38.0","null","run_exp/static/images/Set 6_rs/150a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","39","69837","0.0-39.0","null","<p></p>","null","","","","","","","",""
"","image","40","71016","0.0-40.0","1178.1000000089407","run_exp/static/images/Set 6_rs/062a.jpg","86","","","","","","learn","SL",""
"","show_choice","41","71841","0.0-41.0","null","run_exp/static/images/Set 6_rs/062a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","42","72342","0.0-42.0","null","<p></p>","null","","","","","","","",""
"","image","43","73465","0.0-43.0","1121.8999999910593","run_exp/static/images/Set 6_rs/134a.jpg","86","","","","","","learn","SR",""
"","show_choice","44","74348","0.0-44.0","null","run_exp/static/images/Set 6_rs/134a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","45","74852","0.0-45.0","null","<p></p>","null","","","","","","","",""
"","image","46","75918","0.0-46.0","1064.0999999940395","run_exp/static/images/Set 6_rs/144a.jpg","86","","","","","","learn","SL",""
"","show_choice","47","76857","0.0-47.0","null","run_exp/static/images/Set 6_rs/144a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","48","77363","0.0-48.0","null","<p></p>","null","","","","","","","",""
"","image","49","78540","0.0-49.0","1175.6000000089407","run_exp/static/images/Set 6_rs/016a.jpg","86","","","","","","learn","SL",""
"","show_choice","50","79369","0.0-50.0","null","run_exp/static/images/Set 6_rs/016a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","51","79874","0.0-51.0","null","<p></p>","null","","","","","","","",""
"","image","52","80947","0.0-52.0","1071","run_exp/static/images/Set 6_rs/066a.jpg","86","","","","","","learn","SL",""
"","show_choice","53","81881","0.0-53.0","null","run_exp/static/images/Set 6_rs/066a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","54","82387","0.0-54.0","null","<p></p>","null","","","","","","","",""
"","image","55","83498","0.0-55.0","1109.2000000029802","run_exp/static/images/Set 6_rs/152a.jpg","86","","","","","","learn","SR",""
"","show_choice","56","84390","0.0-56.0","null","run_exp/static/images/Set 6_rs/152a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","57","84895","0.0-57.0","null","<p></p>","null","","","","","","","",""
"","image","58","86346","0.0-58.0","1449.7000000029802","run_exp/static/images/Set 6_rs/126a.jpg","78","","","","","","learn","SR",""
"","show_choice","59","86902","0.0-59.0","null","run_exp/static/images/Set 6_rs/126a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","60","87408","0.0-60.0","null","<p></p>","null","","","","","","","",""
"","image","61","89154","0.0-61.0","1744.5","run_exp/static/images/Set 6_rs/117a.jpg","78","","","","","","learn","SL",""
"","show_choice","62","89414","0.0-62.0","null","run_exp/static/images/Set 6_rs/117a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","63","89920","0.0-63.0","null","<p></p>","null","","","","","","","",""
"","image","64","91207","0.0-64.0","1284.8999999910593","run_exp/static/images/Set 6_rs/019a.jpg","86","","","","","","learn","SL",""
"","show_choice","65","91924","0.0-65.0","null","run_exp/static/images/Set 6_rs/019a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","66","92430","0.0-66.0","null","<p></p>","null","","","","","","","",""
"","image","67","93806","0.0-67.0","1374.4000000059605","run_exp/static/images/Set 6_rs/067a.jpg","78","","","","","","learn","SL",""
"","show_choice","68","94433","0.0-68.0","null","run_exp/static/images/Set 6_rs/067a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","69","94939","0.0-69.0","null","<p></p>","null","","","","","","","",""
"","image","70","95924","0.0-70.0","983.3999999910593","run_exp/static/images/Set 6_rs/085a.jpg","86","","","","","","learn","SL",""
"","show_choice","71","96942","0.0-71.0","null","run_exp/static/images/Set 6_rs/085a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","72","97447","0.0-72.0","null","<p></p>","null","","","","","","","",""
"","image","73","98617","0.0-73.0","1168.2999999970198","run_exp/static/images/Set 6_rs/172a.jpg","86","","","","","","learn","SR",""
"","show_choice","74","99451","0.0-74.0","null","run_exp/static/images/Set 6_rs/172a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","75","99954","0.0-75.0","null","<p></p>","null","","","","","","","",""
"","image","76","100981","0.0-76.0","1024.7999999970198","run_exp/static/images/Set 6_rs/060a.jpg","78","","","","","","learn","SL",""
"","show_choice","77","101957","0.0-77.0","null","run_exp/static/images/Set 6_rs/060a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","78","102464","0.0-78.0","null","<p></p>","null","","","","","","","",""
"","image","79","103280","0.0-79.0","814.9000000059605","run_exp/static/images/Set 6_rs/108a.jpg","78","","","","","","learn","SR",""
"","show_choice","80","104467","0.0-80.0","null","run_exp/static/images/Set 6_rs/108a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","81","104972","0.0-81.0","null","<p></p>","null","","","","","","","",""
"","image","82","106217","0.0-82.0","1243.9000000059605","run_exp/static/images/Set 6_rs/008a.jpg","78","","","","","","learn","SL",""
"","show_choice","83","106977","0.0-83.0","null","run_exp/static/images/Set 6_rs/008a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","84","107481","0.0-84.0","null","<p></p>","null","","","","","","","",""
"","image","85","108773","0.0-85.0","1289.9000000059605","run_exp/static/images/Set 6_rs/167a.jpg","86","","","","","","learn","SL",""
"","show_choice","86","109488","0.0-86.0","null","run_exp/static/images/Set 6_rs/167a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","87","109989","0.0-87.0","null","<p></p>","null","","","","","","","",""
"","image","88","111071","0.0-88.0","1080.199999988079","run_exp/static/images/Set 6_rs/063a.jpg","86","","","","","","learn","SR",""
"","show_choice","89","111995","0.0-89.0","null","run_exp/static/images/Set 6_rs/063a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","90","112500","0.0-90.0","null","<p></p>","null","","","","","","","",""
"","image","91","113925","0.0-91.0","1423.7999999970198","run_exp/static/images/Set 6_rs/024a.jpg","86","","","","","","learn","SR",""
"","show_choice","92","114507","0.0-92.0","null","run_exp/static/images/Set 6_rs/024a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","93","115010","0.0-93.0","null","<p></p>","null","","","","","","","",""
"","image","94","116656","0.0-94.0","1643.300000011921","run_exp/static/images/Set 6_rs/055a.jpg","86","","","","","","learn","SL",""
"","show_choice","95","117013","0.0-95.0","null","run_exp/static/images/Set 6_rs/055a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","96","117519","0.0-96.0","null","<p></p>","null","","","","","","","",""
"","image","97","118749","0.0-97.0","1228.5999999940395","run_exp/static/images/Set 6_rs/089a.jpg","78","","","","","","learn","SL",""
"","show_choice","98","119522","0.0-98.0","null","run_exp/static/images/Set 6_rs/089a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","99","120024","0.0-99.0","null","<p></p>","null","","","","","","","",""
"","image","100","121040","0.0-100.0","1014.7999999970198","run_exp/static/images/Set 6_rs/123a.jpg","78","","","","","","learn","SL",""
"","show_choice","101","122027","0.0-101.0","null","run_exp/static/images/Set 6_rs/123a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","102","122533","0.0-102.0","null","<p></p>","null","","","","","","","",""
"","image","103","122934","0.0-103.0","400.40000000596046","run_exp/static/images/Set 6_rs/017a.jpg","78","","","","","","learn","SL",""
"","show_choice","104","124538","0.0-104.0","null","run_exp/static/images/Set 6_rs/017a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","105","125040","0.0-105.0","null","<p></p>","null","","","","","","","",""
"","image","106","125680","0.0-106.0","637.8999999910593","run_exp/static/images/Set 6_rs/138a.jpg","86","","","","","","learn","SL",""
"","show_choice","107","127047","0.0-107.0","null","run_exp/static/images/Set 6_rs/138a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","108","127549","0.0-108.0","null","<p></p>","null","","","","","","","",""
"","image","109","128764","0.0-109.0","1214.0999999940395","run_exp/static/images/Set 6_rs/061a.jpg","78","","","","","","learn","SR",""
"","show_choice","110","129556","0.0-110.0","null","run_exp/static/images/Set 6_rs/061a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","111","130060","0.0-111.0","null","<p></p>","null","","","","","","","",""
"","image","112","131241","0.0-112.0","1178.7000000029802","run_exp/static/images/Set 6_rs/095a.jpg","78","","","","","","learn","SL",""
"","show_choice","113","132064","0.0-113.0","null","run_exp/static/images/Set 6_rs/095a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","114","132566","0.0-114.0","null","<p></p>","null","","","","","","","",""
"","image","115","133578","0.0-115.0","1010.5","run_exp/static/images/Set 6_rs/129a.jpg","86","","","","","","learn","SL",""
"","show_choice","116","134569","0.0-116.0","null","run_exp/static/images/Set 6_rs/129a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","117","135075","0.0-117.0","null","<p></p>","null","","","","","","","",""
"","image","118","136219","0.0-118.0","1142.5999999940395","run_exp/static/images/Set 6_rs/025a.jpg","86","","","","","","learn","SL",""
"","show_choice","119","137082","0.0-119.0","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","120","137586","0.0-120.0","null","<p></p>","null","","","","","","","",""
"","image","121","138318","0.0-121.0","730.1000000089407","run_exp/static/images/Set 6_rs/091a.jpg","86","","","","","","learn","SL",""
"","show_choice","122","139593","0.0-122.0","null","run_exp/static/images/Set 6_rs/091a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","123","140099","0.0-123.0","null","<p></p>","null","","","","","","","",""
