"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition"
"true","fullscreen","0","5332","0.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","","","","","","","","","",""
"","pavlovia","1","5339","0.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","","","","","","","","","",""
"","welcome","2","40221","0.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","572","737","11","Male","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","",""
"","html-keyboard-response","3","40989","0.0-3.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","758","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","image","4","42992","0.0-4.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/Set 6_rs/045a.jpg","null","","","","","","learn","SR"
"","show_choice","5","45013","0.0-5.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/blank.png","null","","","","","","learn","SR"
"","html-keyboard-response","6","45532","0.0-6.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","<p></p>","null","","","","","","",""
"","image","7","46745","0.0-7.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1210","run_exp/static/images/Set 6_rs/070a.jpg","86","","","","","","learn","SR"
"","show_choice","8","47540","0.0-8.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/Set 6_rs/070a.jpg","null","","","","","","learn","SR"
"","html-keyboard-response","9","48062","0.0-9.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","<p></p>","null","","","","","","",""
