"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","10839","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","","","","","","","","","","",""
"","pavlovia","1","10846","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","","","","","","","","","","",""
"","welcome","2","45891","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","838","601","9","Female","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","46294","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","400.10000002384186","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","47850","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1553.7000000476837","run_exp/static/images/Set 6_rs/024a.jpg","78","","","","","","learn","SR",""
"","show_choice","5","48308","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/024a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","6","48828","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","7","50801","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1970.8999999761581","run_exp/static/images/Set 6_rs/006a.jpg","86","","","","","","learn","SL",""
"","show_choice","8","50838","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/006a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","9","51358","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","10","52627","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1267.1000000238419","run_exp/static/images/Set 6_rs/012a.jpg","86","","","","","","learn","SR",""
"","show_choice","11","53380","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/012a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","12","53901","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","13","55697","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1794.2999999523163","run_exp/static/images/Set 6_rs/138a.jpg","78","","","","","","learn","SL",""
"","show_choice","14","55910","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/138a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","15","56417","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","16","57979","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1560","run_exp/static/images/Set 6_rs/025a.jpg","86","","","","","","learn","SL",""
"","show_choice","17","58433","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","58946","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","19","60010","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1062.5","run_exp/static/images/Set 6_rs/088a.jpg","86","","","","","","learn","SR",""
"","show_choice","20","60956","0.0-20.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/088a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","61460","0.0-21.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","22","62467","0.0-22.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1005.3999999761581","run_exp/static/images/Set 6_rs/116a.jpg","78","","","","","","learn","SL",""
"","show_choice","23","63478","0.0-23.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/116a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","24","63996","0.0-24.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","25","65111","0.0-25.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1114.3000000715256","run_exp/static/images/Set 6_rs/122a.jpg","86","","","","","","learn","SR",""
"","show_choice","26","66004","0.0-26.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","run_exp/static/images/Set 6_rs/122a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","27","66507","0.0-27.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","null","<p></p>","null","","","","","","","",""
"","image","28","67597","0.0-28.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""9858""
","
","1088","run_exp/static/images/Set 6_rs/129a.jpg","86","","","","","","learn","SL",""
