subject_id,age,measure,score
754.0,20.0,ldi,0.59375
754.0,20.0,rec,0.8125
754.0,20.0,all,0.8020833333333334
506.0,24.0,ldi,0.5
506.0,24.0,rec,0.78125
506.0,24.0,all,0.7604166666666666
70.0,22.0,ldi,0.53125
70.0,22.0,rec,0.75
70.0,22.0,all,0.7604166666666666
784.0,21.0,ldi,0.24596774193548387
784.0,21.0,rec,0.6824596774193549
784.0,21.0,all,0.6421052631578947
518.0,9.0,ldi,0.4243951612903226
518.0,9.0,rec,0.53125
518.0,9.0,all,0.6526315789473685
251.0,9.0,ldi,0.3719758064516129
251.0,9.0,rec,0.2752016129032258
251.0,9.0,all,0.5473684210526316
774.0,12.0,ldi,0.03125
774.0,12.0,rec,0.75
774.0,12.0,all,0.59375
220.0,19.0,ldi,0.84375
220.0,19.0,rec,0.78125
220.0,19.0,all,0.875
611.0,15.0,ldi,0.09375
611.0,15.0,rec,0.6875
611.0,15.0,all,0.59375
392.0,18.0,ldi,0.3125
392.0,18.0,rec,0.96875
392.0,18.0,all,0.7604166666666666
709.0,16.0,ldi,0.53125
709.0,16.0,rec,0.875
709.0,16.0,all,0.8020833333333334
72.0,12.0,ldi,0.19556451612903225
72.0,12.0,rec,0.65625
72.0,12.0,all,0.6210526315789474
332.0,9.0,ldi,0.4375
332.0,9.0,rec,0.75
332.0,9.0,all,0.7291666666666666
710.0,13.0,ldi,0.03125
710.0,13.0,rec,0.875
710.0,13.0,all,0.6354166666666666
247.0,17.0,ldi,0.21875
247.0,17.0,rec,0.90625
247.0,17.0,all,0.7083333333333334
37.0,16.0,ldi,0.375
37.0,16.0,rec,0.90625
37.0,16.0,all,0.7604166666666666
233.0,17.0,ldi,0.18548387096774194
233.0,17.0,rec,0.6774193548387096
233.0,17.0,all,0.6170212765957447
358.0,25.0,ldi,0.1875
358.0,25.0,rec,0.6461693548387096
358.0,25.0,all,0.6105263157894737
71.0,17.0,ldi,0.28125
71.0,17.0,rec,0.5816532258064516
71.0,17.0,all,0.6210526315789474
104.0,11.0,ldi,-0.03830645161290322
104.0,11.0,rec,0.905241935483871
104.0,11.0,all,0.6210526315789474
229.0,10.0,ldi,0.34375
229.0,10.0,rec,0.78125
229.0,10.0,all,0.7083333333333334
603.0,16.0,ldi,0.53125
603.0,16.0,rec,0.8125
603.0,16.0,all,0.78125
900.0,10.0,ldi,0.375
900.0,10.0,rec,0.875
900.0,10.0,all,0.75
618.0,25.0,ldi,0.625
618.0,25.0,rec,0.90625
618.0,25.0,all,0.84375
894.0,21.0,ldi,0.46875
894.0,21.0,rec,0.9375
894.0,21.0,all,0.8020833333333334
124.0,12.0,ldi,0.37916666666666665
124.0,12.0,rec,0.7137096774193549
124.0,12.0,all,0.6989247311827957
702.0,9.0,ldi,0.3125
702.0,9.0,rec,0.625
702.0,9.0,all,0.6458333333333334
286.0,18.0,ldi,0.53125
286.0,18.0,rec,0.8125
286.0,18.0,all,0.78125
534.0,23.0,ldi,0.65625
534.0,23.0,rec,0.78125
