"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","subject_id","age","gender","rocket_sides","red_planet_first_rocket","red_display_order","purple_display_order","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","button_pressed","success","duration","valid_pressed","rts","keys","planet_text","right_text","left_text","center_text","chosen_text","reward_text","trial_stage","practice_trial","transition_type","transition","reward","timestamp","choice"
"pavlovia","0","3","0.0-0.0","843","688","15","Female","false","false","false","true","
","
","
","
","
","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","4764","0.0-1.0","843","688","15","Female","false","false","false","true","
","
","
","
","
","4758.800000011921","Welcome! Press the space bar to begin.","32","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","2","10734","0.0-2.0","843","688","15","Female","false","false","false","true","
","
","
","
","
","5960","audio/beep_loop.wav","32","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","14757","0.0-3.0","843","688","15","Female","false","false","false","true","
","
","
","
","
","NaN","audio/fish.mp3","","1","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","17964","0.0-4.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","NaN","audio/tiger.mp3","","4","","","","","","","","","","","","","","","","","",""
"fullscreen","5","26889","0.0-5.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","true","","","","","","","","","","","","","","","","",""
"d3-instructions","6","49166","0.0-6.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","7","61925","0.0-7.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","8","72006","0.0-8.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","9","96046","0.0-9.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","10","122629","0.0-10.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-animate-choice","11","132614","0.0-11.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","4331.800000011921","","32","","","3000","1","7962.9000000059605,9559.699999988079","49,48","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","","NA","practice","null","","","",""
"d3-animate-choice","12","135894","0.0-12.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1259.800000011921","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","","NA","practice","null","","","",""
"d3-animate-choice","13","139174","0.0-13.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1267.7999999821186","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","","NA","practice","null","","","",""
"d3-animate-choice","14","141870","0.0-14.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","684.5","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","","NA","practice","null","","","",""
"d3-instructions","15","177509","0.0-15.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","16","184717","0.0-16.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","17","195277","0.0-17.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","18","209493","0.0-18.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","19","224166","0.0-19.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
