trial_type,trial_index,time_elapsed,internal_node_id,participant_id,subject_id,age,gender,rocket_sides,red_planet_first_rocket,red_display_order,purple_display_order,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,key_press,button_pressed,success,duration,valid_pressed,rts,keys,planet_text,right_text,left_text,center_text,chosen_text,reward_text,trial_stage,practice_trial,transition_type,choice,transition,reward,timestamp
pavlovia,0,4,0.0-0.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"
","
","
","
","
",,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,1,1551,0.0-1.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"
","
","
","
","
",1546.3,Welcome! Press the space bar to begin.,32,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,2,7873,0.0-2.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"
","
","
","
","
",6200,audio/beep_loop.wav,32,,,,,,,,,,,,,,,,,,,
audio-button-response,3,12251,0.0-3.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"
","
","
","
","
",NaN,audio/fish.mp3,,1,,,,,,,,,,,,,,,,,,
audio-button-response,4,14690,0.0-4.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",NaN,audio/tiger.mp3,,4,,,,,,,,,,,,,,,,,,
fullscreen,5,18913,0.0-5.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,TRUE,,,,,,,,,,,,,,,,,
d3-instructions,6,34196,0.0-6.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,7,43524,0.0-7.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,8,53802,0.0-8.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,9,70982,0.0-9.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,10,92153,0.0-10.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-animate-choice,11,95438,0.0-11.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",1277.5,,49,,,3000,1,2205.6,48,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien2,,NA,practice,null,,,,
d3-animate-choice,12,97516,0.0-12.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",72.2,,48,,,3000,1,,,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien1,,NA,practice,null,,,,
d3-animate-choice,13,99938,0.0-13.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",418.7,,48,,,3000,1,,,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien1,,NA,practice,null,,,,
d3-animate-choice,14,102317,0.0-14.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",373.3,,49,,,3000,1,,,images/tutgreenplanet.jpg,images/tutalien1,images/tutalien2,null,images/tutalien2,,NA,practice,null,,,,
d3-instructions,15,110586,0.0-15.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,16,117222,0.0-16.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,17,127070,0.0-17.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,18,142924,0.0-18.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,19,156837,0.0-19.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-animate-choice,20,160010,0.0-20.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",1166.2,,49,,,3000,1,,,images/tutyellowplanet.jpg,null,images/tutalien3,null,images/tutalien3,images/t.png,NA,practice,null,,,,
d3-animate-choice,21,162431,0.0-21.0,1245,1218,25,Male,FALSE,TRUE,FALSE,TRUE,"""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""17939""
","
",417,,49,,,3000,1,,,images/tutyellowplanet.jpg,null,images/tutalien3,null,images/tutalien3,images/t.png,NA,practice,null,,,,
