trial_type,trial_index,time_elapsed,internal_node_id,participant_id,subject_id,age,gender,rocket_sides,red_planet_first_rocket,red_display_order,purple_display_order,interactions,blur_events,focus_events,fullscreenenter_events,fullscreenexit_events,rt,stimulus,key_press,button_pressed,success,duration,valid_pressed,rts,keys,planet_text,right_text,left_text,center_text,chosen_text,reward_text,trial_stage,practice_trial,transition_type,reward,timestamp,choice,transition
pavlovia,0,17,0.0-0.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","
",,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,1,38166,0.0-1.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","
",38146.3,Welcome! Press the space bar to begin.,32,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,2,40753,0.0-2.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","
",1309,audio/beep_loop.wav,175,,,,,,,,,,,,,,,,,,,
audio-button-response,3,46833,0.0-3.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","""event"",""trial"",""time""
""focus"",""1"",""35905""
","
","
",NaN,audio/fish.mp3,,1,,,,,,,,,,,,,,,,,,
audio-button-response,4,49339,0.0-4.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",NaN,audio/tiger.mp3,,4,,,,,,,,,,,,,,,,,,
fullscreen,5,227954,0.0-5.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",,,,,TRUE,,,,,,,,,,,,,,,,,
d3-instructions,6,282269,0.0-6.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,7,293383,0.0-7.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,8,301217,0.0-8.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",,,,,,,,,,,,,,,,,,,,,,
d3-instructions,9,313133,0.0-9.0,1463,1657,8,Female,FALSE,TRUE,TRUE,FALSE,"""event"",""trial"",""time""
""focus"",""1"",""35905""
""blur"",""5"",""53201""
""focus"",""5"",""221911""
""blur"",""5"",""224679""
""focus"",""5"",""226201""
""fullscreenenter"",""5"",""227030""
","""event"",""trial"",""time""
""blur"",""5"",""53201""
""blur"",""5"",""224679""
","""event"",""trial"",""time""
""focus"",""1"",""35905""
""focus"",""5"",""221911""
""focus"",""5"",""226201""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""227030""
","
",,,,,,,,,,,,,,,,,,,,,,
