"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","subject_id","age","gender","rocket_sides","red_planet_first_rocket","red_display_order","purple_display_order","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","button_pressed","success","duration","valid_pressed","rts","keys","planet_text","right_text","left_text","center_text","chosen_text","reward_text","trial_stage","practice_trial","transition_type","reward","timestamp","choice","transition"
"pavlovia","0","3","0.0-0.0","202","2130","9","Male","false","false","false","true","
","
","
","
","
","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","30061","0.0-1.0","202","2130","9","Male","false","false","false","true","
","
","
","
","
","30057.399999976158","Welcome! Press the space bar to begin.","32","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","2","32371","0.0-2.0","202","2130","9","Male","false","false","false","true","
","
","
","
","
","1941","audio/beep_loop.wav","32","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","35687","0.0-3.0","202","2130","9","Male","false","false","false","true","
","
","
","
","
","NaN","audio/fish.mp3","","1","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","41253","0.0-4.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","NaN","audio/tiger.mp3","","4","","","","","","","","","","","","","","","","","",""
"fullscreen","5","50693","0.0-5.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","","","","","true","","","","","","","","","","","","","","","","",""
"d3-instructions","6","59418","0.0-6.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","7","63022","0.0-7.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","8","66251","0.0-8.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","9","75622","0.0-9.0","202","2130","9","Male","false","false","false","true","""event"",""trial"",""time""
""blur"",""5"",""44564""
""focus"",""5"",""48790""
""fullscreenenter"",""5"",""49763""
","""event"",""trial"",""time""
""blur"",""5"",""44564""
","""event"",""trial"",""time""
""focus"",""5"",""48790""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""49763""
","
","","","","","","","","","","","","","","","","","","","","","",""
