"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","subject_id","age","gender","rocket_sides","red_planet_first_rocket","red_display_order","purple_display_order","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","button_pressed","success","duration","valid_pressed","rts","keys","planet_text","right_text","left_text","center_text","chosen_text","reward_text","trial_stage","practice_trial","transition_type","choice","transition","reward","timestamp"
"pavlovia","0","4","0.0-0.0","2696","4970","14","Male","false","false","true","true","
","
","
","
","
","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","932","0.0-1.0","2696","4970","14","Male","false","false","true","true","
","
","
","
","
","926.5","Welcome! Press the space bar to begin.","32","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","2","4354","0.0-2.0","2696","4970","14","Male","false","false","true","true","
","
","
","
","
","3339","audio/beep_loop.wav","32","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","7126","0.0-3.0","2696","4970","14","Male","false","false","true","true","
","
","
","
","
","NaN","audio/fish.mp3","","1","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","9579","0.0-4.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","NaN","audio/tiger.mp3","","4","","","","","","","","","","","","","","","","","",""
"fullscreen","5","14712","0.0-5.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","true","","","","","","","","","","","","","","","","",""
"d3-instructions","6","20492","0.0-6.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","7","30409","0.0-7.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","8","34326","0.0-8.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","9","43176","0.0-9.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","10","49833","0.0-10.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-animate-choice","11","54936","0.0-11.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","3090.100000023842","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","","NA","practice","null","","","",""
"d3-animate-choice","12","58317","0.0-12.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","1373.5","","48","","","3000","1","3246.7000000476837","49","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","","NA","practice","null","","","",""
"d3-animate-choice","13","61265","0.0-13.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","941.1000000238419","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","","NA","practice","null","","","",""
"d3-animate-choice","14","63644","0.0-14.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","372.2000000476837","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","","NA","practice","null","","","",""
"d3-instructions","15","66501","0.0-15.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","16","68327","0.0-16.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","17","72455","0.0-17.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","18","77634","0.0-18.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","19","89079","0.0-19.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-animate-choice","20","91743","0.0-20.0","2696","4970","14","Male","false","false","true","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""13723""
","
","659.2000000476837","","49","","","3000","1","1928.1000000238419","49","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
