"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","subject_id","age","gender","rocket_sides","red_planet_first_rocket","red_display_order","purple_display_order","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","button_pressed","success"
"pavlovia","0","4","0.0-0.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","
","
","","","","",""
"html-keyboard-response","1","22399","0.0-1.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","
","
","22394.300000071526","Welcome! Press the space bar to begin.","32","",""
"audio-keyboard-response","2","25245","0.0-2.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","
","
","2781","audio/beep_loop.wav","32","",""
"audio-button-response","3","28064","0.0-3.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","
","
","NaN","audio/fish.mp3","","1",""
"audio-button-response","4","30453","0.0-4.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","
","NaN","audio/tiger.mp3","","4",""
"fullscreen","5","35407","0.0-5.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","
","","","","","true"
"d3-instructions","6","47557","0.0-6.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","
","","","","",""
"d3-instructions","7","54388","0.0-7.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","
","","","","",""
"d3-instructions","8","60836","0.0-8.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","
","","","","",""
"d3-instructions","9","70932","0.0-9.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
""fullscreenexit"",""10"",""85985""
""blur"",""10"",""86966""
""focus"",""10"",""93323""
""blur"",""10"",""94614""
""focus"",""10"",""96591""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
""blur"",""10"",""86966""
""blur"",""10"",""94614""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
""focus"",""10"",""93323""
""focus"",""10"",""96591""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""fullscreenexit"",""10"",""85985""
","","","","",""
"d3-instructions","10","99548","0.0-10.0","3596","6339","14","Female","true","true","false","false","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""1"",""1065""
""blur"",""1"",""3600""
""focus"",""1"",""21307""
""fullscreenenter"",""5"",""34424""
""fullscreenexit"",""10"",""85985""
""blur"",""10"",""86966""
""focus"",""10"",""93323""
""blur"",""10"",""94614""
""focus"",""10"",""96591""
""blur"",""11"",""130038""
""focus"",""11"",""142950""
""blur"",""11"",""169523""
""focus"",""11"",""169528""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""1"",""3600""
""blur"",""10"",""86966""
""blur"",""10"",""94614""
""blur"",""11"",""130038""
""blur"",""11"",""169523""
","""event"",""trial"",""time""
""focus"",""1"",""1065""
""focus"",""1"",""21307""
""focus"",""10"",""93323""
""focus"",""10"",""96591""
""focus"",""11"",""142950""
""focus"",""11"",""169528""
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""34424""
","""event"",""trial"",""time""
""fullscreenexit"",""10"",""85985""
","","","","",""
